BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
144,147.3,147.9,Jacob Lake ,N7YSE,Southwest,Y,100,,N,,N,N,N,N,,Y,146.8,N,36.7375,-112.2128,O L 146.800,364415,1121246,Jacob Lake,JACOB
144,146.91,146.31,St George,NR7K,Southwest,Y,100,,N,,N,N,N,N,,N,,Y,36.8467,-113.4919,O E X,365048,1132931,Seegmiller,SW
440,449.1,444.1,Kanab,N7YSE,Southwest,Y,100,,N,,N,Y,N,N,,N,,N,36.9864,-112.5042,O 2 Mtr RB,365911,1123015,Kanab TV site,Kanab
144,146.96,146.36,Page AZ,W7WAC,South,Y,100,,N,,N,N,N,N,,Y,146.8,Y,37.0344,-110.8697,O X L 146.800,370204,1105211,Navajo Mtn,NAVAJO
440,448.6,443.6,Page AZ,WA7VHF,South,Y,100,,N,,N,N,N,N,,Y,146.8,Y,37.0344,-110.8697,O X L 146.800,370204,1105211,Navajo Mtn,NAVAJO
440,448.75,443.75,Page AZ,NA7DB,South,N,,,N,,N,N,N,N,,N,,Y,37.0344,-110.8697,O X,370204,1105211,Navajo Mtn,NAVAJO
440,449.925,444.925,"Page, Az",W7CWI,South,N,,,N,,N,N,N,N,,N,,Y,37.0344,-110.8697,O X,370204,1105211,Navajo Mtn,NAVAJO
440,449.85,444.85,Kanab,W7NRC,South,N,,,N,,N,N,N,N,,N,,N,37.0431,-112.5264,O,370235,1123135,Kanab,KANAB
144,147.36,147.96,Kanab,WI7M,South,N,,,N,,N,N,N,N,,N,,N,37.0481,-112.5261,O,370253,1123134,Kanab,KANAB
440,448.725,443.725,St George,WB6TNP,Southwest,N,,,N,,N,N,N,N,,N,,N,37.0533,-113.8231,Tri State Link,370312,1134923,Scrub Peak,SG
144,146.88,146.28,Kanab,W7NRC,South,Y,123,,N,,N,N,N,N,,N,,N,37.0606,-112.5192,O,370338,1123109,Kanab TV Site,KANAB
144,146.64,146.04,St George,W7DRC,Southwest,Y,100,,N,,N,N,N,Y,,Y,145.49,N,37.1064,-113.5972,O A,370623,1133550,St George,SG
144,147.26,147.86,St. George,K7SG,Southwest,N,,,N,,N,N,N,N,,N,,Y,37.1064,-113.5972,O X E(Solar),370623,1133550,St. George,SG
440,449.7,444.7,St. George,K7SG,Southwest,Y,100,,N,,N,N,N,N,,N,,N,37.1064,-113.5972,O,370623,1133550,Schmutz Hill ,SG
440,446.7,446.7,St. George,KA7STK,Southwest,N,,,N,,N,N,N,Y,,N,,N,37.1069,-113.5814,A O,370625,1133453,St. George,Southwest
440,449.35,444.35,ST George,KI2U,St George,N,,,N,,N,N,N,N,,N,,N,37.1244,-113.5394,O,370728,1133222,KI2U QTH,SG
144,145.49,144.89,St. George,W7DRC,Southwest,Y,100,,N,,N,N,N,N,,Y,146.64,Y,37.125,-113.875,O X(wx*127*128)100.0 145.450/146.640,370730,1135230,Utah Hill,SW
144,145.37,144.77,St George,N7ARR,South West,N,,,N,,N,N,N,N,,N,,Y,37.1486,-113.8681,Proposed,370855,1135205,Utah Hill,SG
